system:time_start,LST_Day_1km
1-Jan-19,35.442
9-Jan-19,38.371
17-Jan-19,39.244
25-Jan-19,41.512
2-Feb-19,38.913
10-Feb-19,37.745
18-Feb-19,40.606
26-Feb-19,40.429
6-Mar-19,39.413
14-Mar-19,37.335
22-Mar-19,42.022
30-Mar-19,38.919
7-Apr-19,40.59
15-Apr-19,38.907
23-Apr-19,33.564
1-May-19,36.702
9-May-19,34.347
17-May-19,35.386
25-May-19,29.448
2-Jun-19,29.201
10-Jun-19,32.637
18-Jun-19,30.561
26-Jun-19,30.604
4-Jul-19,27.6
12-Jul-19,28.869
20-Jul-19,28.77
28-Jul-19,28.328
5-Aug-19,29.032
13-Aug-19,28.498
21-Aug-19,27.782
29-Aug-19,29.953
6-Sep-19,29.779
14-Sep-19,28.515
22-Sep-19,29.609
30-Sep-19,28.995
8-Oct-19,26.344
16-Oct-19,29.766
24-Oct-19,29.022
1-Nov-19,32.634
9-Nov-19,33.269
17-Nov-19,33.137
25-Nov-19,35.091
3-Dec-19,34.655
11-Dec-19,36.039
19-Dec-19,35.689
27-Dec-19,35.9
