system:time_start,NDVI
1-Jan-21,0.26
9-Jan-21,0.224
17-Jan-21,0.233
25-Jan-21,0.213
2-Feb-21,0.212
10-Feb-21,0.176
18-Feb-21,0.177
26-Feb-21,0.161
6-Mar-21,0.243
14-Mar-21,0.181
22-Mar-21,0.241
30-Mar-21,0.152
7-Apr-21,0.292
15-Apr-21,0.225
23-Apr-21,0.292
1-May-21,0.183
9-May-21,0.352
17-May-21,0.315
25-May-21,0.342
2-Jun-21,0.22
10-Jun-21,0.477
18-Jun-21,0.015
26-Jun-21,0.509
4-Jul-21,0.335
12-Jul-21,0.036
20-Jul-21,0.171
28-Jul-21,0
5-Aug-21,0.345
13-Aug-21,0
21-Aug-21,0.32
29-Aug-21,0.188
6-Sep-21,0.283
14-Sep-21,0.009
22-Sep-21,0.29
30-Sep-21,0.506
8-Oct-21,0.293
16-Oct-21,0.525
24-Oct-21,0.446
1-Nov-21,0.495
9-Nov-21,0.404
17-Nov-21,0.464
25-Nov-21,0.401
3-Dec-21,0.348
11-Dec-21,0.295
19-Dec-21,0.274
27-Dec-21,0.227
